PNC,1.0000,0.0000,3,0,0
CFU,0.5000,0.0000,1,0,1
CFR,1.0000,0.0000,8,0,0
CFS,0.0000,0.0000,0,0,1
XQP,0.0000,1.0000,0,1,0
PRG,0.4945,0.0332,134,9,128
SAO,0.5000,0.5000,2,2,0
SAN,0.5343,0.1351,2207,558,1366
PRC,0.8095,0.1190,34,5,3
SAL,0.1105,0.0939,20,17,144
SAC,0.6667,0.3333,46,23,0
PRN,0.0000,0.0000,0,0,8
PRI,0.0000,0.0000,0,0,1
SAF,0.7804,0.0888,167,19,28
JOG,0.2500,0.0000,3,0,9
SAP,0.1724,0.1379,15,12,60
SAW,0.0968,0.0000,3,0,28
SAV,0.6769,0.0930,597,82,203
SAT,0.6214,0.0938,1318,199,604
CHA,0.6676,0.1257,239,45,74
CHC,0.5889,0.1111,53,10,27
MRY,0.8912,0.0387,598,26,47
MRZ,0.0000,1.0000,0,1,0
NPL,1.0000,0.0000,3,0,0
CHI,0.1404,0.8596,25,153,0
JAU,0.2500,0.0000,1,0,3
MRS,0.5952,0.1190,25,5,12
JAN,0.6634,0.1230,205,38,66
CHQ,0.2000,0.1000,2,1,7
JAL,1.0000,0.0000,1,0,0
CHS,0.4946,0.1173,409,97,321
MRK,0.0000,1.0000,0,6,0
JAE,0.0000,0.0000,0,0,1
JAC,0.4581,0.1788,82,32,65
ZIH,0.2679,0.0714,15,4,37
UYU,0.0000,0.0000,0,0,1
APW,0.6000,0.1000,6,1,3
APN,0.5000,0.0000,3,0,3
DBQ,0.9091,0.0390,70,3,4
APC,0.7778,0.2222,7,2,0
APF,0.8125,0.1875,65,15,0
DBV,0.4167,0.0417,10,1,13
YSJ,0.7500,0.0000,3,0,1
MAZ,0.3810,0.5238,8,11,2
YSB,0.3333,0.0000,3,0,6
TKF,1.0000,0.0000,2,0,0
PQQ,0.5000,0.0000,1,0,1
HMT,0.0000,1.0000,0,2,0
TKK,0.0000,0.0000,0,0,1
NLA,0.0000,0.0000,0,0,2
HMO,0.5833,0.0208,28,1,19
NLD,0.5455,0.0909,6,1,4
TKX,1.0000,0.0000,4,0,0
SNS,1.0000,0.0000,6,0,0
DLC,0.0000,0.0000,0,0,8
DLA,0.2500,0.0000,2,0,6
DLG,0.0000,0.0000,0,0,1
GCK,0.5625,0.0625,9,1,6
DLH,0.8164,0.0676,169,14,24
GCM,0.1088,0.3333,16,49,82
DLM,0.0000,0.0000,0,0,1
GCN,1.0000,0.0000,115,0,0
ASP,0.0000,0.0000,0,0,2
BTV,0.6960,0.0903,293,38,90
BTS,0.8667,0.1333,13,2,0
BTR,0.6022,0.0876,165,24,85
BTZ,1.0000,0.0000,1,0,0
SSI,1.0000,0.0000,2,0,0
SSH,0.6667,0.0000,4,0,2
BTM,0.8571,0.0476,36,2,4
BTL,0.8571,0.1429,6,1,0
SNY,1.0000,0.0000,4,0,0
SSA,0.1538,0.1154,4,3,19
TSN,0.2857,0.0000,2,0,5
WYS,1.0000,0.0000,13,0,0
ECG,0.0000,1.0000,0,1,0
RMQ,0.9286,0.0000,13,0,1
LNY,0.5000,0.0000,1,0,1
BEL,0.3333,0.0000,1,0,2
LNZ,0.8000,0.0000,4,0,1
LNS,0.8806,0.0149,59,1,7
LNK,0.7244,0.1102,92,14,21
ECP,0.6954,0.0993,105,15,31
RMI,1.0000,0.0000,5,0,0
ASE,0.4224,0.1366,68,22,71
BBI,0.0000,0.0000,0,0,2
EUG,0.5836,0.1068,164,30,87
YAV,1.0000,0.0000,4,0,0
BBA,0.1250,0.2500,1,2,5
YAI,1.0000,0.0000,2,0,0
EUX,0.0000,0.0000,0,0,2
ASH,0.0000,1.0000,0,6,0
TUP,0.8788,0.1212,29,4,0
TUS,0.4551,0.1423,355,111,314
TUL,0.5647,0.1247,240,53,132
TUN,0.3200,0.0000,8,0,17
TUO,0.8333,0.0833,10,1,1
TUF,1.0000,0.0000,9,0,0
BES,0.0000,1.0000,0,2,0
CYS,0.9038,0.0577,47,3,2
CYR,0.0000,1.0000,0,1,0
POZ,0.2500,0.0000,1,0,3
PDX,0.5064,0.1226,1272,308,932
POS,0.1683,0.0891,34,18,150
POP,0.2973,0.0676,22,5,47
CYB,0.5000,0.0000,1,0,1
POL,1.0000,0.0000,1,0,0
POM,0.0000,0.0000,0,0,2
FYV,0.0000,1.0000,0,4,0
BET,0.0000,0.0000,0,0,2
POI,1.0000,0.0000,8,0,0
POF,1.0000,0.0000,2,0,0
CYI,1.0000,0.0000,1,0,0
POA,0.1667,0.0833,2,1,9
VCA,1.0000,0.0000,1,0,0
FKL,1.0000,0.0000,3,0,0
VCE,0.5204,0.0669,140,18,111
FKB,1.0000,0.0000,2,0,0
CWI,1.0000,0.0000,1,0,0
VCT,0.8667,0.1333,13,2,0
CWL,0.6667,0.1667,4,1,1
VCV,0.0000,1.0000,0,2,0
CWA,0.6667,0.0494,54,4,23
CWC,0.0000,0.0000,0,0,1
CWB,0.1429,0.0952,3,2,16
VLL,1.0000,0.0000,2,0,0
WKA,1.0000,0.0000,2,0,0
QSR,0.0000,1.0000,0,2,0
PAP,0.1385,0.0649,32,15,184
PAQ,1.0000,0.0000,2,0,0
PAR,0.3846,0.6154,10,16,0
PAS,1.0000,0.0000,2,0,0
PAT,0.0000,0.0000,0,0,2
CKB,0.8824,0.1176,15,2,0
ZFV,0.0000,0.0000,0,0,1
PAC,0.6667,0.3333,2,1,0
PAE,0.0000,1.0000,0,6,0
PAH,0.9296,0.0000,66,0,5
CKY,0.6667,0.0000,2,0,1
ETZ,1.0000,0.0000,1,0,0
PAO,0.0000,1.0000,0,2,0
MQF,0.0000,0.0000,0,0,1
DCA,0.4770,0.0638,1682,225,1619
MQP,0.7500,0.2500,3,1,0
